2019-05-27 09:46:15,208 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-05-27 09:46:15,293 [     85]   INFO -        #com.intellij.idea.Main - IDE: PyCharm (build #PC-191.7141.48, 07 May 2019 07:34) 
2019-05-27 09:46:15,293 [     85]   INFO -        #com.intellij.idea.Main - OS: Linux (4.18.0-15-generic, amd64) 
2019-05-27 09:46:15,293 [     85]   INFO -        #com.intellij.idea.Main - JRE: 11.0.2+9-b159.56 (JetBrains s.r.o) 
2019-05-27 09:46:15,293 [     85]   INFO -        #com.intellij.idea.Main - JVM: 11.0.2+9-b159.56 (OpenJDK 64-Bit Server VM) 
2019-05-27 09:46:15,293 [     85]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -XX:ErrorFile=/home/student/java_error_in_PYCHARM_%p.log -XX:HeapDumpPath=/home/student/java_error_in_PYCHARM.hprof -Didea.paths.selector=PyCharmCE2019.1 -Djb.vmOptionsFile=/opt/pycharm-community-2019.1.2/bin/pycharm64.vmoptions -Didea.platform.prefix=PyCharmCore 
2019-05-27 09:46:15,293 [     85]   INFO -        #com.intellij.idea.Main - charsets: JNU=UTF-8 file=UTF-8 
2019-05-27 09:46:15,318 [    110]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 24 ms 
2019-05-27 09:46:16,434 [   1226]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-05-27 09:46:16,629 [   1421]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (JRE-managed HiDPI) 
2019-05-27 09:46:27,783 [  12575]   INFO - m.intellij.ui.mac.touchbar.NST - OS doesn't support touchbar, skip nst loading 
2019-05-27 09:46:37,153 [  21945]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 773 ms 
2019-05-27 09:46:47,114 [  31906]   INFO - .intellij.idea.IdeaApplication - CPU cores: 1; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@d6efb05[Running, parallelism = 1, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@5dbf2471 
2019-05-27 09:46:47,178 [  31970]   INFO - .intellij.idea.IdeaApplication - WM detected: GNOME Shell 
2019-05-27 09:46:47,813 [  32605]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 291 ms 
2019-05-27 09:46:47,819 [  32611]   INFO - llij.ide.plugins.PluginManager - Plugin 'IntelliJ Configuration Script' can't be loaded because: Plugin does not include any module dependency tags in its plugin.xml therefore is assumed legacy and can be loaded only in IntelliJ IDEA 
2019-05-27 09:46:47,923 [  32715]   INFO - llij.ide.plugins.PluginManager - 20 plugins initialized in 407 ms 
2019-05-27 09:46:47,923 [  32715]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Copyright (191.7141.48), EditorConfig (191.7141.48), Git Integration (191.7141.48), GitHub (191.7141.48), IDEA CORE (191.7141.48), IntelliLang (191.7141.48), Markdown support (191.7141.48), Mercurial Integration (191.7141.48), Properties Support (191.7141.48), Python Copyright (191.7141.48), Python IntelliLang (191.7141.48), Python ReStructureText Integration (191.7141.48), Python Terminal (191.7141.48), ReStructuredText Support (191.7141.48), Settings Repository (191.7141.48), Subversion (191.7141.48), Task Management (191.7141.48), Terminal (191.7141.48), YAML (191.7141.48) 
2019-05-27 09:46:47,923 [  32715]   INFO - llij.ide.plugins.PluginManager - Disabled plugins: IntelliJ Configuration Script (191.7141.48) 
2019-05-27 09:46:48,805 [  33597]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: '/home/student/.PyCharmCE2019.1/system/caches/names.dat' does not exist 
2019-05-27 09:46:48,806 [  33598]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=721 
2019-05-27 09:46:48,883 [  33675]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: /opt/pycharm-community-2019.1.2/bin/fsnotifier64 
2019-05-27 09:46:48,933 [  33725]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2019-05-27 09:46:49,633 [  34425]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2019-05-27 09:46:49,634 [  34426]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2019-05-27 09:46:50,788 [  35580]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2019-05-27 09:46:50,904 [  35696]   INFO - tellij.ide.SystemHealthMonitor - restored ignored PIPE handler 
2019-05-27 09:46:50,914 [  35706]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2019-05-27 09:46:50,965 [  35757]   INFO - j.ide.ui.OptionsTopHitProvider - 851 ms spent to cache options in application 
2019-05-27 09:46:50,965 [  35757]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.OptionsTopHitProvider$Activity took 851 ms 
2019-05-27 09:46:51,069 [  35861]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2019-05-27 09:46:51,361 [  36153]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:161, number of extensions:21 
2019-05-27 09:46:51,389 [  36181]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:27 
2019-05-27 09:46:51,452 [  36244]   INFO - il.indexing.FileBasedIndexImpl - Index FilenameIndex will be built. 
2019-05-27 09:46:51,471 [  36263]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:57, number of extensions:11 
2019-05-27 09:46:51,472 [  36264]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:0 
2019-05-27 09:46:51,581 [  36373]   INFO - il.indexing.FileBasedIndexImpl - Index filetypes will be built. 
2019-05-27 09:46:51,616 [  36408]   INFO - il.indexing.FileBasedIndexImpl - Index FrameworkDetectionIndex will be built. 
2019-05-27 09:46:51,748 [  36540]   INFO - il.indexing.FileBasedIndexImpl - Index TodoIndex will be built. 
2019-05-27 09:46:51,882 [  36674]   INFO - pi.util.registry.RegistryValue - Registry value 'ide.ssh.one.time.password' has changed to 'true' 
2019-05-27 09:46:52,021 [  36813]   INFO - plication.impl.ApplicationImpl - 67 application components initialized in 4507ms 
2019-05-27 09:46:52,057 [  36849]   INFO - .intellij.idea.IdeaApplication - App initialization took 38228 ms 
2019-05-27 09:46:52,418 [  37210]   INFO - ndex.PrebuiltIndexProviderBase - Using prebuilt id-index from /home/student/.PyCharmCE2019.1/system/index/.persistent/prebuilt/Python/id-index.input 
2019-05-27 09:46:52,476 [  37268]   INFO - il.indexing.FileBasedIndexImpl - Index IdIndex will be built. 
2019-05-27 09:46:52,494 [  37286]   INFO - il.indexing.FileBasedIndexImpl - Index Stubs will be built. 
2019-05-27 09:46:52,754 [  37546]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:PythonStub,Markdown,Properties,HTML,XML,Python 
2019-05-27 09:46:52,897 [  37689]   INFO - il.indexing.FileBasedIndexImpl - Index Trigram.Index will be built. 
2019-05-27 09:46:52,924 [  37716]   INFO - il.indexing.FileBasedIndexImpl - Index fileIncludes will be built. 
2019-05-27 09:46:52,961 [  37753]   INFO - il.indexing.FileBasedIndexImpl - Index DomFileIndex will be built. 
2019-05-27 09:46:52,999 [  37791]   INFO - il.indexing.FileBasedIndexImpl - Index RelaxSymbolIndex will be built. 
2019-05-27 09:46:53,017 [  37809]   INFO - il.indexing.FileBasedIndexImpl - Index XmlTagNames will be built. 
2019-05-27 09:46:53,034 [  37826]   INFO - il.indexing.FileBasedIndexImpl - Index XmlNamespaces will be built. 
2019-05-27 09:46:53,062 [  37854]   INFO - il.indexing.FileBasedIndexImpl - Index html5.custom.attributes.index will be built. 
2019-05-27 09:46:53,077 [  37869]   INFO - il.indexing.FileBasedIndexImpl - Index SchemaTypeInheritance will be built. 
2019-05-27 09:46:53,080 [  37872]   INFO - il.indexing.FileBasedIndexImpl - Index ImageFileInfoIndex will be built. 
2019-05-27 09:46:53,099 [  37891]   INFO - il.indexing.FileBasedIndexImpl - Index json.file.root.values will be built. 
2019-05-27 09:46:53,125 [  37917]   INFO - il.indexing.FileBasedIndexImpl - Index Py.module.name will be built. 
2019-05-27 09:46:53,126 [  37918]   INFO - il.indexing.FileBasedIndexImpl - Index Py.setuptools.namespace will be built. 
2019-05-27 09:46:53,158 [  37950]   INFO - il.indexing.FileBasedIndexImpl - Index xmlProperties will be built. 
2019-05-27 09:46:53,159 [  37951]   INFO - il.indexing.FileBasedIndexImpl - Index editorconfig.index.name will be built. 
2019-05-27 09:46:53,196 [  37988]   INFO - il.indexing.FileBasedIndexImpl - Index yaml.keys.name will be built. 
2019-05-27 09:46:53,256 [  38048]   INFO - pl$FileIndexDataInitialization - Initialization done:1879 
2019-05-27 09:46:53,258 [  38050]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.namespaceKey will be built. 
2019-05-27 09:46:53,297 [  38089]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.elementClass will be built. 
2019-05-27 09:46:53,305 [  38097]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.class.shortName will be built. 
2019-05-27 09:46:53,307 [  38099]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.class.shortNameInsensitive will be built. 
2019-05-27 09:46:53,308 [  38100]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.function.shortName will be built. 
2019-05-27 09:46:53,337 [  38129]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.class.super will be built. 
2019-05-27 09:46:53,338 [  38130]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.variable.shortName will be built. 
2019-05-27 09:46:53,355 [  38147]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Python.Decorator will be built. 
2019-05-27 09:46:53,369 [  38161]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Py.class.attributes will be built. 
2019-05-27 09:46:53,377 [  38169]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index properties.index will be built. 
2019-05-27 09:46:53,380 [  38172]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index markdown.header will be built. 
2019-05-27 09:46:53,394 [  38186]   INFO - exImpl$StubIndexInitialization - Initialization done:136 
2019-05-27 09:46:54,383 [  39175]   INFO - j.ide.plugins.RepositoryHelper - using cached plugin list (updated at 5/27/19, 9:46 AM) 
2019-05-27 09:46:55,128 [  39920]   INFO - .openapi.application.Preloader - com.intellij.openapi.actionSystem.impl.ActionPreloader took 4161 ms 
2019-05-27 09:46:55,276 [  40068]   INFO - penapi.wm.impl.GlobalMenuLinux - Closed dbus-service 'com.canonical.AppMenu.Registrar' 
2019-05-27 09:46:55,610 [  40402]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2019-05-27 09:46:56,655 [  41447]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.search.SearchableOptionPreloader took 1522 ms 
2019-05-27 09:46:56,717 [  41509]   INFO - j.ide.ui.OptionsTopHitProvider - 1462 ms spent on EDT to cache options in application 
2019-05-27 09:46:57,723 [  42515]   INFO - .openapi.application.Preloader - com.intellij.codeInsight.completion.CompletionPreloader took 1067 ms 
2019-05-27 09:46:57,735 [  42527]   INFO - .openapi.application.Preloader - com.intellij.ide.actions.GotoClassPresentationUpdater took 12 ms 
2019-05-27 09:47:09,130 [  53922]   INFO - rationStore.ComponentStoreImpl - Saving appDaemonCodeAnalyzerSettings took 33 ms, FeatureUsageStatistics took 13 ms, UISettings took 12 ms, XDebuggerSettings took 13 ms 
2019-05-27 09:47:09,239 [  54031]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2019-05-27 09:47:09,240 [  54032]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2019-05-27 09:47:09,240 [  54032]   INFO - il.indexing.FileBasedIndexImpl - START INDEX SHUTDOWN 
2019-05-27 09:47:09,306 [  54098]   INFO - il.indexing.FileBasedIndexImpl - END INDEX SHUTDOWN 
2019-05-27 09:47:09,332 [  54124]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2019-05-27 09:47:09,356 [  54148]   INFO - Types.impl.FileTypeManagerImpl - FileTypeManager: 0 auto-detected files
Elapsed time on auto-detect: 0 ms 
2019-05-27 09:47:09,362 [  54154]   INFO - pl.local.NativeFileWatcherImpl - Watcher terminated with exit code 0 
2019-05-27 09:47:09,367 [  54159]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2019-05-27 09:47:09,372 [  54164]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2019-05-27 09:47:09,397 [  54189]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2019-05-27 09:47:09,413 [  54205]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2019-05-27 10:19:55,616 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-05-27 10:19:55,674 [     58]   INFO -        #com.intellij.idea.Main - IDE: PyCharm (build #PC-191.7141.48, 07 May 2019 07:34) 
2019-05-27 10:19:55,674 [     58]   INFO -        #com.intellij.idea.Main - OS: Linux (4.18.0-15-generic, amd64) 
2019-05-27 10:19:55,674 [     58]   INFO -        #com.intellij.idea.Main - JRE: 11.0.2+9-b159.56 (JetBrains s.r.o) 
2019-05-27 10:19:55,674 [     58]   INFO -        #com.intellij.idea.Main - JVM: 11.0.2+9-b159.56 (OpenJDK 64-Bit Server VM) 
2019-05-27 10:19:55,674 [     58]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -XX:ErrorFile=/home/student/java_error_in_PYCHARM_%p.log -XX:HeapDumpPath=/home/student/java_error_in_PYCHARM.hprof -Didea.paths.selector=PyCharmCE2019.1 -Djb.vmOptionsFile=/opt/pycharm-community-2019.1.2/bin/pycharm64.vmoptions -Didea.platform.prefix=PyCharmCore 
2019-05-27 10:19:55,674 [     58]   INFO -        #com.intellij.idea.Main - charsets: JNU=UTF-8 file=UTF-8 
2019-05-27 10:19:55,696 [     80]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 22 ms 
2019-05-27 10:19:56,649 [   1033]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-05-27 10:19:56,660 [   1044]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (JRE-managed HiDPI) 
2019-05-27 10:19:57,254 [   1638]   INFO - .intellij.idea.IdeaApplication - CPU cores: 1; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@241cbfdd[Running, parallelism = 1, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@2ac5a44b 
2019-05-27 10:19:57,336 [   1720]   INFO - .intellij.idea.IdeaApplication - WM detected: GNOME Shell 
2019-05-27 10:19:58,330 [   2714]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 577 ms 
2019-05-27 10:19:58,379 [   2763]   INFO - llij.ide.plugins.PluginManager - Plugin 'IntelliJ Configuration Script' can't be loaded because: Plugin does not include any module dependency tags in its plugin.xml therefore is assumed legacy and can be loaded only in IntelliJ IDEA 
2019-05-27 10:19:58,468 [   2852]   INFO - llij.ide.plugins.PluginManager - 20 plugins initialized in 715 ms 
2019-05-27 10:19:58,468 [   2852]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Copyright (191.7141.48), EditorConfig (191.7141.48), Git Integration (191.7141.48), GitHub (191.7141.48), IDEA CORE (191.7141.48), IntelliLang (191.7141.48), Markdown support (191.7141.48), Mercurial Integration (191.7141.48), Properties Support (191.7141.48), Python Copyright (191.7141.48), Python IntelliLang (191.7141.48), Python ReStructureText Integration (191.7141.48), Python Terminal (191.7141.48), ReStructuredText Support (191.7141.48), Settings Repository (191.7141.48), Subversion (191.7141.48), Task Management (191.7141.48), Terminal (191.7141.48), YAML (191.7141.48) 
2019-05-27 10:19:58,468 [   2852]   INFO - llij.ide.plugins.PluginManager - Disabled plugins: IntelliJ Configuration Script (191.7141.48) 
2019-05-27 10:19:59,119 [   3503]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=721 
2019-05-27 10:19:59,204 [   3588]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: /opt/pycharm-community-2019.1.2/bin/fsnotifier64 
2019-05-27 10:19:59,321 [   3705]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2019-05-27 10:20:01,501 [   5885]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2019-05-27 10:20:01,576 [   5960]   INFO - tellij.ide.SystemHealthMonitor - restored ignored PIPE handler 
2019-05-27 10:20:01,605 [   5989]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2019-05-27 10:20:01,779 [   6163]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2019-05-27 10:20:01,861 [   6245]   INFO - j.ide.ui.OptionsTopHitProvider - 917 ms spent to cache options in application 
2019-05-27 10:20:01,861 [   6245]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.OptionsTopHitProvider$Activity took 916 ms 
2019-05-27 10:20:02,101 [   6485]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:109, number of extensions:21 
2019-05-27 10:20:02,123 [   6507]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:21 
2019-05-27 10:20:02,188 [   6572]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:41, number of extensions:11 
2019-05-27 10:20:02,191 [   6575]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:3 
2019-05-27 10:20:02,348 [   6732]   INFO - pi.util.registry.RegistryValue - Registry value 'ide.ssh.one.time.password' has changed to 'true' 
2019-05-27 10:20:02,484 [   6868]   INFO - plication.impl.ApplicationImpl - 67 application components initialized in 4735ms 
2019-05-27 10:20:02,500 [   6884]   INFO - .intellij.idea.IdeaApplication - App initialization took 7968 ms 
2019-05-27 10:20:03,186 [   7570]   INFO - ndex.PrebuiltIndexProviderBase - Using prebuilt id-index from /home/student/.PyCharmCE2019.1/system/index/.persistent/prebuilt/Python/id-index.input 
2019-05-27 10:20:04,038 [   8422]   INFO - pl$FileIndexDataInitialization - Initialization done:1922 
2019-05-27 10:20:04,125 [   8509]   INFO - exImpl$StubIndexInitialization - Initialization done:87 
2019-05-27 10:20:05,763 [  10147]   INFO - m.intellij.ui.mac.touchbar.NST - OS doesn't support touchbar, skip nst loading 
2019-05-27 10:20:05,784 [  10168]   INFO - penapi.wm.impl.GlobalMenuLinux - Closed dbus-service 'com.canonical.AppMenu.Registrar' 
2019-05-27 10:20:06,981 [  11365]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2019-05-27 10:20:07,484 [  11868]   INFO - .openapi.application.Preloader - com.intellij.openapi.actionSystem.impl.ActionPreloader took 5616 ms 
2019-05-27 10:20:08,024 [  12408]   INFO - j.ide.ui.OptionsTopHitProvider - 2168 ms spent on EDT to cache options in application 
2019-05-27 10:20:08,441 [  12825]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.search.SearchableOptionPreloader took 957 ms 
